 Average                 ," NO_
AJMER "," NO2_
AJMER "," NOX_
AJMER "," NH3_
AJMER "," SO2_
AJMER "," CO_
AJMER "," O3_
AJMER "," PM10_
AJMER "," PM2.5_
AJMER "," BENZ_
AJMER "," TOLUENE_
AJMER "," ETHYBEZ_
AJMER ", MP_XYLENE_AJMER ,"OXYLENE_
AJMER "," TEMP_
AJMER "," RH_
AJMER "," WS_
AJMER "," WD_
AJMER "," BP_
AJMER "," SR_
AJMER "," RG_
AJMER "
                  , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , mg/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , degreC , % , m/s , degre----- , mmHg , W/m2 , m m 
43466.041666666664,40.72,60.28,101,34.14,8.6199999999999992,0.25,11.37,209.31,72.86,6.58,14.79,0.38,0.72,0.23,9.6,58.7,0.89,356.73,765.36,25.26,0
43466.083333333336,52.37,54.1,106.46,35.56,9.2100000000000009,0.87,9.83,182.26,74.930000000000007,5.48,11.64,0.26,0.45,0.15,8.6999999999999993,64,0.66,19.100000000000001,765.1,25.03,0
43466.125,33.61,51.92,85.53,36.1,9.42,0.79,6.23,176.36,61.35,4.4400000000000004,10.199999999999999,0.23,0.39,0.13,8.36,65.900000000000006,1.06,8.7100000000000009,764.85,25.27,0
43466.166666666664,23.42,47.48,70.900000000000006,35.67,11.56,0.69,5.4,159.38,53.71,3.52,8.31,0.17,0.28000000000000003,0.1,8,67.8,0.47,12.53,764.64,24.85,0
43466.208333333336,13.25,43.93,57.18,31.18,11.75,0.57999999999999996,5.24,112.54,31.92,2.72,6.62,0.13,0.2,0.06,7.79,68.900000000000006,0.42,339.59,764.38,25.15,0
43466.25,16.39,42.31,58.7,32.17,9.23,0.84,4.46,108.27,39.26,2.37,5.28,0.08,0.11,0.03,7.3,73.8,1.1299999999999999,30.17,764.25,25.16,0
43466.291666666664,21.39,41.55,62.94,29.8,8.1999999999999993,0.56999999999999995,3.95,97.85,31.61,2.62,5.5,7.0000000000000007E-2,0.11,0.02,7.15,74.5,0.37,28.54,764.62,25.02,0
43466.333333333336,34.97,46.69,81.66,31.47,6.6,0.33,6.85,169.97,54.13,4.17,5.51,0.09,0.11,0.01,7.03,74.400000000000006,0.73,2.5,765.34,32.82,0
43466.375,65.89,70.8,136.69,40.619999999999997,7,0.63,17.899999999999999,186.76,56.82,8.17,8.3800000000000008,0.14000000000000001,0.18,0.05,11.69,58.8,0.62,33.67,765.93,110.52,0
43466.416666666664,19.84,77.28,97.12,41.33,9.43,0.55000000000000004,18.66,273.58999999999997,78.59,12.48,13.87,0.28999999999999998,0.45,0.13,17.54,38.700000000000003,0.94,142.9,766.23,223.57,0
43466.458333333336,4.0999999999999996,47.9,52,33.880000000000003,38,0.34,58.98,234.72,70.45,3.3,5.49,0.13,0.15,0.03,19.84,30.3,1.3,185.85,766.06,278.43,0
43466.5,2.19,34,36.19,27.94,31.43,0.14000000000000001,89.36,167.92,49.07,2.36,3.19,0.1,0.06,0.01,21.28,25.2,1.85,188.89,765.49,260.31,0
43466.541666666664,2.27,25.81,28.08,28.49,28.56,0.11,96.11,145.56,51.08,0.94,1.34,0.08,0.03,0,22.74,21.7,1.63,164.15,764.54,94.39,0
43466.583333333336,2.11,24.98,27.08,27.25,33.71,2.2200000000000002,106.1,89.39,32.909999999999997,0.89,1.28,0.03,0.02,0,23.51,20.3,1.93,173.19,763.62,310.36,0
43466.625,2.21,30.83,33.03,24.33,29.44,2.1800000000000002,93.99,72.86,22.11,0.87,1.43,0.01,0,0,24.46,15.9,1.69,213.08,763,345.71,0
